#;Player;Score;Kills;Death;Damage;Map Count
714;aragornN;5.8;0.63;0.70;73.17;60
715;siuhy;5.8;0.63;0.68;71.64;282
716;zede;5.8;0.64;0.67;68.17;131
717;NickelBack;5.8;0.62;0.68;72.02;366
718;MisteM;5.8;0.63;0.71;70.49;139
719;maNkz;5.8;0.61;0.69;71.15;257
720;SBT;5.8;0.61;0.68;68.41;33
721;S3NSEY;5.8;0.63;0.64;63.05;106
722;Qikert;5.8;0.60;0.63;68.81;502
723;capseN;5.8;0.62;0.62;65.20;58
724;juissi;5.8;0.64;0.70;71.04;112
725;b0denmaster;5.8;0.63;0.64;65.10;166
726;NaToSaphiX;5.8;0.62;0.64;66.18;98
727;omichella;5.8;0.64;0.72;73.57;33
728;Jaepe;5.8;0.65;0.70;71.02;32
729;NEKIZ;5.8;0.63;0.69;71.55;250
730;Lack1;5.8;0.64;0.71;72.39;516
731;SPine;5.8;0.61;0.67;67.95;46
732;fejtZ;5.8;0.64;0.67;66.36;69
733;dox;5.8;0.61;0.69;70.63;52
734;MoriiSko;5.8;0.65;0.73;76.49;38
735;ultimate;5.8;0.64;0.67;64.54;60
736;EmiliaQAQ;5.8;0.62;0.66;67.30;97
737;zur1s;5.8;0.62;0.64;63.93;33
738;MITHPUTTINI;5.8;0.63;0.65;65.03;38
739;Valencio;5.8;0.63;0.68;69.87;136
740;Daffu;5.8;0.61;0.66;67.24;67
741;FinigaN;5.8;0.60;0.65;68.64;51
742;iDk;5.8;0.63;0.69;69.89;53
743;RpK;5.8;0.63;0.67;69.75;146
744;w1nt3r;5.8;0.62;0.67;71.08;69
745;Alisson;5.8;0.63;0.67;70.54;95
746;Ducky;5.8;0.63;0.70;71.77;47
747;nani;5.8;0.64;0.73;71.84;36
748;Graviti;5.8;0.63;0.71;71.63;144
749;buster;5.8;0.61;0.61;67.50;406
750;Noktse;5.8;0.62;0.65;65.74;215
751;Walco;5.8;0.63;0.67;69.95;182
752;NBK-;5.8;0.62;0.69;71.94;327
753;es3tag;5.8;0.60;0.65;68.38;351
754;LUMSEN;5.8;0.63;0.69;69.20;37
755;iso;5.8;0.62;0.68;69.10;40
756;mds;5.8;0.61;0.65;67.44;127
757;Andrew;5.8;0.63;0.67;63.54;38
758;kiR;5.8;0.64;0.71;70.22;120
759;hns;5.8;0.63;0.69;71.06;65
760;nosraC;5.8;0.63;0.70;72.70;210
761;baaaaZzz;5.8;0.60;0.61;66.12;133
762;alexsomfan;5.8;0.60;0.69;70.54;33
763;darko;5.8;0.60;0.69;70.36;89
764;Jerry;5.8;0.62;0.68;71.74;376
765;Leomonster;5.8;0.63;0.72;72.34;117
766;isak;5.8;0.61;0.65;69.83;255
767;Gabe;5.8;0.63;0.75;74.18;57
768;fear;5.8;0.61;0.66;70.17;74
769;FreeZe;5.8;0.62;0.72;74.41;293
770;Patti;5.8;0.62;0.69;70.77;268
771;gade;5.8;0.62;0.65;66.97;99
772;Sandman;5.8;0.65;0.72;71.01;43
773;SELLTER;5.8;0.62;0.66;68.69;329
774;nafany;5.8;0.63;0.70;71.90;631
775;facecrack;5.8;0.64;0.74;72.88;61
776;2x2x;5.8;0.62;0.68;67.81;37
777;nolkz;5.8;0.62;0.67;72.19;79
778;apEX;5.8;0.60;0.67;73.04;602
779;HUASOPEEK;5.8;0.64;0.66;68.71;71
780;ztr;5.8;0.61;0.67;68.07;324
781;Kjaerbye;5.8;0.61;0.66;69.88;99
782;nifee3;5.8;0.61;0.68;71.65;74
783;Razzmo;5.8;0.63;0.69;70.51;34
784;LUCAS1;5.8;0.60;0.70;73.22;79
785;Krs7N;5.8;0.62;0.72;70.06;32
786;Gonzo;5.8;0.66;0.77;77.17;36
787;CSO;5.8;0.62;0.70;71.01;133
788;executor;5.8;0.60;0.65;67.69;30
789;kressy;5.8;0.64;0.67;68.76;33
790;Sergiz;5.8;0.62;0.65;72.38;30
791;Xyp9x;5.8;0.59;0.64;69.03;452
792;brn$;5.8;0.63;0.70;72.60;82
793;Tadpole;5.8;0.63;0.70;71.07;49
794;aris;5.8;0.62;0.71;68.17;41
795;SaVage;5.8;0.63;0.68;69.19;62
796;SLY;5.8;0.63;0.71;71.35;88
797;Peeping;5.8;0.64;0.73;70.23;98
798;eku;5.8;0.63;0.72;72.26;61
799;corn;5.8;0.63;0.70;69.92;37
800;agR;5.8;0.62;0.70;67.52;32
801;malta;5.8;0.62;0.69;72.25;80
802;djay;5.8;0.61;0.69;69.92;131
803;rmn;5.8;0.61;0.66;68.73;322
804;SynyX;5.8;0.63;0.69;69.81;61
805;nyezin;5.8;0.60;0.66;69.28;113
806;LNZ;5.8;0.60;0.65;67.20;325
807;diozera;5.8;0.64;0.72;71.16;98
808;IceBerg;5.8;0.63;0.76;74.27;266
809;Duplicate;5.8;0.58;0.64;68.83;104
810;SLOWLY;5.8;0.63;0.72;71.65;64
811;kadziu;5.8;0.63;0.70;69.99;97
812;Lobanjica;5.8;0.60;0.76;74.70;38
813;sergej;5.8;0.59;0.66;68.68;50
814;AxEcHo;5.8;0.61;0.62;67.54;34
815;ABM;5.8;0.62;0.69;69.63;42
816;paz;5.8;0.62;0.66;66.62;53
817;phr;5.8;0.59;0.64;69.20;47
818;Furlan;5.8;0.61;0.73;72.03;108
819;abizz;5.8;0.62;0.68;69.56;40
820;doto;5.8;0.61;0.69;69.98;154
821;H4RR3;5.8;0.62;0.74;72.50;58
822;Ag1L;5.8;0.62;0.68;68.10;97
823;Sm1llee;5.8;0.63;0.71;70.85;123
824;bondik;5.7;0.60;0.67;69.12;32
825;RICIOLI;5.7;0.60;0.67;69.89;151
826;hybrid;5.7;0.61;0.71;70.83;91
827;fokiu;5.7;0.63;0.74;73.24;118
828;Snakes;5.7;0.60;0.68;66.05;52
829;boX;5.7;0.60;0.69;72.23;133
830;tom1jed;5.7;0.62;0.71;70.33;84
831;almazer;5.7;0.60;0.68;68.37;101
832;gla1ve;5.7;0.60;0.67;68.70;566
833;b0RUP;5.7;0.61;0.67;66.90;408
834;Boombl4;5.7;0.60;0.67;69.72;581
835;trk;5.7;0.60;0.67;66.51;96
836;Wahtzz;5.7;0.62;0.67;68.58;61
837;dexter;5.7;0.62;0.70;69.81;412
838;yeL;5.7;0.60;0.64;66.58;108
839;nicx;5.7;0.62;0.72;70.90;74
840;motm;5.7;0.63;0.73;69.12;69
841;ckzao;5.7;0.60;0.68;69.01;69
842;Jelo;5.7;0.62;0.71;68.83;122
843;Silence;5.7;0.62;0.61;62.45;39
844;uli;5.7;0.62;0.70;70.70;113
845;hotd0g;5.7;0.63;0.74;71.99;114
846;munch;5.7;0.58;0.71;72.32;33
847;suNdaY-;5.7;0.63;0.70;71.55;54
848;chopper;5.7;0.60;0.65;67.93;444
849;prt;5.7;0.61;0.70;68.61;124
850;naz;5.7;0.60;0.72;69.89;51
851;T4GG3D;5.7;0.61;0.68;69.41;197
852;birdfromsky;5.7;0.58;0.70;71.95;283
853;icem4N;5.7;0.63;0.71;69.37;40
854;micro;5.7;0.62;0.72;68.61;62
855;Jamppi;5.7;0.62;0.72;69.35;40
856;enzero;5.7;0.61;0.71;70.96;111
857;scar;5.7;0.63;0.77;71.82;65
858;TMKj;5.7;0.61;0.69;68.17;30
859;Maluk3;5.7;0.60;0.69;65.74;153
860;gRuChA;5.7;0.62;0.73;70.52;86
861;SHOOWTiME;5.7;0.60;0.71;70.36;95
862;zmb;5.7;0.60;0.67;69.52;126
863;Aleksib;5.7;0.57;0.65;68.85;525
864;Oxygen;5.7;0.60;0.68;67.75;174
865;ZeRRoFIX;5.7;0.60;0.66;65.93;48
866;zks;5.7;0.60;0.68;67.50;71
867;Ro1f;5.7;0.59;0.66;66.82;151
868;viz;5.7;0.60;0.67;68.09;90
869;flamie;5.7;0.59;0.65;67.86;163
870;consss;5.7;0.61;0.73;71.26;51
871;fl0m;5.7;0.63;0.71;69.32;121
872;Liki;5.7;0.60;0.71;69.90;50
873;Keoz;5.7;0.62;0.71;69.24;250
874;Tender;5.7;0.61;0.69;69.27;37
875;ArroW;5.7;0.59;0.67;66.64;174
876;beastik;5.7;0.60;0.68;67.92;406
877;malinov;5.7;0.61;0.69;68.71;54
878;steel;5.7;0.60;0.70;69.72;97
879;byr9;5.7;0.59;0.66;69.80;127
880;wiz;5.7;0.60;0.66;64.19;123
881;Dem0N;5.7;0.63;0.72;68.64;34
882;drop;5.7;0.59;0.62;65.35;334
883;souz4h;5.7;0.61;0.68;67.91;76
884;God6y;5.7;0.61;0.70;67.71;31
885;kelieN;5.7;0.62;0.70;68.52;34
886;aVN;5.7;0.61;0.68;67.11;211
887;LaX;5.7;0.60;0.68;67.61;34
888;stYleEeZ;5.7;0.58;0.66;68.42;69
889;dan1;5.7;0.61;0.69;68.54;107
890;bluewhite;5.7;0.62;0.68;70.05;59
891;olofmeister;5.7;0.59;0.64;65.12;135
892;fr0slev;5.7;0.59;0.71;69.69;56
893;drg;5.7;0.60;0.70;67.32;202
894;system;5.7;0.62;0.71;68.41;66
895;MAJ3R;5.7;0.58;0.65;66.62;240
896;j3kie;5.7;0.63;0.70;67.72;63
897;Hatz;5.7;0.60;0.69;68.97;107
898;SHiNE;5.7;0.59;0.67;65.80;338
899;seized;5.7;0.59;0.67;67.90;310
900;KukuBambo;5.7;0.62;0.72;72.22;31
901;ScrunK;5.7;0.58;0.70;68.85;156
902;Icarus;5.7;0.62;0.69;68.80;49
903;AdreN;5.7;0.59;0.70;70.49;63
904;Vert;5.7;0.58;0.66;66.98;123
905;kAlash;5.7;0.61;0.70;67.34;38
906;jason;5.7;0.61;0.72;70.08;92
907;rainny;5.7;0.61;0.69;67.54;50
908;bubble;5.7;0.58;0.71;71.11;168
909;virtuoso;5.7;0.59;0.69;67.48;154
910;Patrick;5.7;0.59;0.69;67.35;190
911;Elk;5.7;0.61;0.76;73.63;30
912;grape;5.7;0.60;0.72;68.13;62
913;SkulL;5.7;0.60;0.73;71.39;41
914;Trucklover86;5.7;0.61;0.71;68.02;97
915;Mikki;5.7;0.59;0.65;60.32;30
916;emi;5.7;0.58;0.69;67.73;159
917;Q-Q;5.7;0.57;0.63;64.93;131
918;dav1g;5.7;0.59;0.68;68.19;307
919;P3R3IIRA;5.7;0.59;0.69;66.44;35
920;Adam9130;5.7;0.59;0.72;70.91;79
921;krii;5.7;0.60;0.71;66.87;42
922;ProbLeM;5.7;0.58;0.73;69.92;34
923;tatazin;5.7;0.58;0.65;67.67;64
924;debo;5.7;0.58;0.65;67.07;46
925;larsen;5.7;0.59;0.70;67.61;40
926;-stormzin;5.7;0.59;0.68;67.33;118
927;WOOD7;5.6;0.57;0.63;63.59;209
928;Linko;5.6;0.61;0.77;72.36;32
929;tiziaN;5.6;0.59;0.68;66.99;459
930;bichop;5.6;0.60;0.71;66.60;99
931;interz;5.6;0.56;0.57;61.47;418
932;DeathZz;5.6;0.59;0.65;67.42;115
933;RUSH;5.6;0.58;0.67;66.21;289
934;mid1;5.6;0.59;0.72;67.29;35
935;Seabra;5.6;0.59;0.69;68.27;35
936;SENER1;5.6;0.58;0.67;67.11;358
937;Libido;5.6;0.59;0.69;66.47;41
938;ninjaZ;5.6;0.58;0.68;68.93;104
939;amster;5.6;0.57;0.67;66.53;191
940;Makzwell;5.6;0.55;0.64;60.21;61
941;short;5.6;0.58;0.66;68.40;49
942;K1-FiDa;5.6;0.58;0.66;65.34;133
943;choiv7;5.6;0.57;0.68;67.98;71
944;neaLaN;5.6;0.59;0.70;68.47;197
945;Snappi;5.6;0.58;0.69;68.67;414
946;honda;5.6;0.60;0.68;65.50;69
947;Ersin;5.6;0.60;0.71;68.45;85
948;Unshaark;5.6;0.59;0.70;66.90;32
949;dzt;5.6;0.61;0.72;69.69;30
950;sorrow;5.6;0.61;0.72;69.31;42
951;JACKZ;5.6;0.59;0.67;65.41;405
952;Brooxsy;5.6;0.58;0.68;66.24;69
953;AJTT;5.6;0.58;0.67;67.87;114
954;Sico;5.6;0.59;0.68;66.30;147
955;Reatz;5.6;0.61;0.68;65.84;40
956;stanislaw;5.6;0.57;0.66;66.05;230
957;coolio;5.6;0.57;0.65;62.85;59
958;arcade;5.6;0.59;0.71;68.81;56
959;zqk;5.6;0.58;0.64;61.71;78
960;v1c7oR;5.6;0.56;0.71;67.35;46
961;TOAO;5.6;0.59;0.68;66.30;200
962;Project90;5.6;0.59;0.70;68.72;33
963;lealziNho;5.6;0.57;0.70;69.86;52
964;Sanji;5.6;0.57;0.64;64.23;191
965;luko;5.6;0.57;0.67;65.52;45
966;PREDI;5.6;0.59;0.74;71.38;99
967;Kyojin;5.6;0.58;0.66;64.57;175
968;dobbo;5.6;0.57;0.65;63.52;76
969;Buda;5.6;0.57;0.66;65.70;158
970;sNx;5.6;0.58;0.69;66.17;127
971;mynio;5.6;0.58;0.70;70.34;242
972;Jerppa;5.6;0.61;0.77;72.82;63
973;hurtslxrd;5.6;0.57;0.66;63.12;97
974;niki1;5.6;0.56;0.67;67.00;167
975;LEARSI;5.6;0.58;0.70;65.73;86
976;Golden;5.6;0.58;0.72;67.71;211
977;sad;5.6;0.60;0.69;64.69;85
978;phx;5.6;0.57;0.72;67.88;41
979;Topa;5.6;0.58;0.66;63.67;76
980;denis;5.6;0.59;0.72;67.84;51
981;Aqua;5.6;0.57;0.65;62.84;49
982;Nifty;5.6;0.59;0.71;63.66;45
983;propleh;5.6;0.59;0.72;68.21;36
984;JT;5.6;0.57;0.70;65.50;403
985;max;5.6;0.59;0.74;70.12;36
986;Ryu;5.6;0.59;0.68;63.41;52
987;aleph;5.6;0.57;0.71;66.41;41
988;GruBy;5.6;0.59;0.72;67.83;37
989;msN;5.6;0.56;0.69;64.94;113
990;dukefissura;5.5;0.63;0.74;69.08;31
991;roz;5.5;0.59;0.68;65.80;62
992;seb;5.5;0.57;0.67;63.93;100
993;akEz;5.5;0.58;0.71;65.65;30
994;Airax;5.5;0.59;0.75;69.61;211
995;tOPZ;5.5;0.57;0.67;65.04;99
996;Hkta;5.5;0.57;0.72;66.62;43
997;darchevile;5.5;0.57;0.70;66.46;160
998;poppins;5.5;0.58;0.75;69.24;30
999;chrisJ;5.5;0.55;0.67;61.93;75
1000;PKL;5.5;0.56;0.68;65.83;205
1001;KD69z;5.5;0.59;0.73;65.50;38
1002;MiGHTYMAX;5.5;0.56;0.65;62.97;366
1003;notineki;5.5;0.57;0.65;63.41;48
1004;foggers;5.5;0.58;0.74;64.96;34
1005;leckr;5.5;0.56;0.70;63.28;36
1006;kinqie;5.5;0.57;0.72;68.01;31
1007;oskarish;5.5;0.57;0.68;62.49;46
1008;Mellow;5.5;0.58;0.74;63.79;37
1009;leleo;5.5;0.56;0.68;65.74;79
1010;ryann;5.5;0.59;0.74;66.13;38
1011;MMS;5.5;0.59;0.72;66.17;68
1012;ben1337;5.5;0.55;0.69;63.43;166
1013;esenthial;5.5;0.56;0.71;63.98;98
1014;xReal;5.5;0.59;0.71;64.25;41
1015;sense;5.5;0.57;0.68;65.42;176
1016;EXUS;5.5;0.56;0.75;68.76;57
1017;nitr0;5.5;0.55;0.66;62.27;216
1018;lunAtic;5.5;0.54;0.70;64.70;234
1019;DDias;5.5;0.58;0.77;70.56;87
1020;Bart4k;5.5;0.58;0.68;62.51;78
1021;SaNt0S;5.5;0.58;0.72;67.26;38
1022;Swicher;5.5;0.58;0.68;65.21;35
1023;jR;5.5;0.54;0.69;63.76;34
1024;karrigan;5.5;0.57;0.71;66.65;615
1025;Lich;5.5;0.57;0.70;65.58;52
1026;meztal;5.5;0.56;0.69;63.65;37
1027;Lambert;5.5;0.54;0.66;61.71;43
1028;Spongey;5.5;0.56;0.70;63.48;50
1029;BTN;5.5;0.56;0.72;65.44;299
1030;S0tF1k;5.5;0.54;0.69;64.82;88
1031;TACO;5.5;0.55;0.69;64.35;122
1032;Grashog;5.4;0.54;0.69;63.58;78
1033;n9xtz;5.4;0.56;0.69;62.53;88
1034;AlekS;5.4;0.53;0.63;62.19;33
1035;shutout;5.4;0.57;0.74;66.62;65
1036;dok;5.4;0.56;0.74;67.22;36
1037;fnx;5.4;0.54;0.65;62.23;60
1038;friberg;5.4;0.56;0.73;65.42;72
1039;Shakezullah;5.4;0.54;0.71;63.19;92
1040;Drewtheshrew;5.4;0.56;0.75;66.96;36
1041;sh1geo;5.4;0.55;0.73;66.02;59
1042;Haz4rt;5.4;0.55;0.72;64.03;38
1043;Penguuuin;5.4;0.56;0.74;65.68;31
1044;s1rva;5.4;0.55;0.73;64.20;118
1045;BobZ;5.4;0.53;0.69;63.60;110
1046;relentless;5.4;0.56;0.71;61.61;57
1047;HooXi;5.4;0.53;0.69;62.25;380
1048;Ping;5.3;0.55;0.75;62.08;55
1049;BRACE;5.3;0.54;0.70;61.85;92
1050;rox;5.3;0.54;0.69;61.88;56
1051;julih;5.3;0.53;0.74;62.29;36
1052;Psycho;5.3;0.52;0.68;62.72;31
1053;RAiLWAY;5.3;0.53;0.73;64.29;59
1054;rrr;5.3;0.51;0.68;61.33;34
1055;hasteka;5.3;0.55;0.74;63.17;67
1056;R2D2J;5.3;0.54;0.75;62.03;31
1057;moonwalk;5.3;0.54;0.72;63.23;36
1058;TaZ;5.3;0.52;0.71;61.01;84
1059;daps;5.3;0.53;0.70;61.74;44
1060;Klameczka;5.2;0.53;0.76;65.98;104
1061;ADK;5.2;0.51;0.67;55.61;32
1062;Marek;5.2;0.49;0.70;59.78;52
1063;ap0c;5.2;0.53;0.77;65.28;32
1064;goddess;5.2;0.55;0.79;65.69;36
1065;puuha;5.2;0.52;0.76;62.22;52
1066;caike;5.2;0.51;0.74;60.25;34
1067;advent;5.2;0.48;0.68;56.53;190
1068;Summy;5.1;0.52;0.78;60.95;38
1069;milky;5.1;0.49;0.75;60.64;37
1070;kRYSTAL;5.0;0.46;0.74;57.95;47
1071;Tomkeejs;5.0;0.48;0.72;56.50;33